name,ticker,asset_type,shares,purchase_price,current_price,esg_score,sector,carbon_footprint,allocation,volatility,beta,sharpe_ratio,market_correlation,environmental_score,social_score,governance_score
GreenTech Solutions,GRNT,Stock,10,120.50,145.75,85.2,Technology,28.5,0.12,0.15,1.2,1.8,0.65,87.3,82.1,86.2
Renewable Power,RNWP,Stock,25,45.25,52.30,92.1,Energy,12.3,0.11,0.18,0.9,2.1,0.58,94.5,89.2,92.6
Sustainable Finance,SUFN,Stock,15,78.90,82.15,79.8,Finance,18.7,0.10,0.12,1.1,1.6,0.72,81.3,76.5,81.6
EcoToken,ECO,Crypto,50,25.10,32.45,76.5,Renewable Energy,35.2,0.13,0.45,1.5,1.2,0.48,79.2,72.8,77.5
GreenCoin,GRC,Crypto,100,12.30,15.80,68.9,Green Technology,42.8,0.13,0.52,1.8,0.9,0.52,71.5,65.2,70.0
Sustainable Pharma,SUPH,Stock,20,65.40,72.25,81.3,Healthcare,22.1,0.12,0.14,0.8,1.7,0.61,83.6,78.9,81.4
CleanRetail Inc,CLRT,Stock,30,42.60,39.75,77.2,Retail,31.5,0.09,0.22,1.3,1.4,0.68,79.5,74.3,77.8
WaterTech,WTRT,Stock,15,68.20,74.50,88.7,Utilities,15.3,0.09,0.16,0.7,1.9,0.59,91.2,85.6,89.3
Circular Economy,CRCE,Stock,12,55.40,62.80,86.5,Manufacturing,19.8,0.06,0.19,1.0,1.8,0.63,88.7,83.2,87.6
OceanToken,OCNT,Crypto,40,8.75,10.20,82.3,Marine Conservation,18.5,0.05,0.38,1.4,1.3,0.45,85.1,78.4,83.4
